,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
16,GERGELY CSORBA; JONG-HEE HAHN,FUNCTIONAL DEGRADATION AND ASYMMETRIC NETWORK EFFECTS*,"Institute of Economics - Hungarian Academy of Sciences, Budaőrsi út 45, Budapest 1112, Hungary; and Central European University csorba@econ.core.hu; Department of Economics, Yonsei University, Shinchon-dong 134, Seodaemun-Gu, Seoul 120-749, Korea hahnjh@yonsei.ac.kr",2006/06/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",54.0,2,10.1111/j.1467-6451.2006.00282.x,http://dx.doi.org/10.1111/j.1467-6451.2006.00282.x
17,PATRICK LEGROS,INTRODUCTION TO THE SYMPOSIUM ON INTELLECTUAL PROPERTY AND INNOVATION,,2010/06/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",58.0,2,10.1111/j.1467-6451.2010.00422.x,http://dx.doi.org/10.1111/j.1467-6451.2010.00422.x
18,Rachel Griffith; Michal Krol; Kate Smith,Why Do Retailers Advertise Store Brands Differently Across Product Categories?,Institute for Fiscal Studies and University of Manchester Manchester England; University of Manchester Manchester England; Institute for Fiscal Studies and University College London London England,2019-3-22,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",66.0,3,10.1111/joie.12178,http://dx.doi.org/10.1111/joie.12178
19,Ginger Zhe Jin; Marc Rysman,Platform Pricing at Sports Card Conventions,Department of Economics University of Maryland  College Park Maryland and NBER U.S.A.; Department of Economics Boston University  Bay State Road Boston Massachusetts U.S.A.,2015-12-30,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",63.0,4,10.1111/joie.12088,http://dx.doi.org/10.1111/joie.12088
20,DAMIEN J. NEVEN; LARS-HENDRIK RÖLLER; ZHENTANG ZHANG,ENDOGENOUS COSTS AND PRICE-COST MARGINS: AN APPLICATION TO THE EUROPEAN AIRLINE INDUSTRY*,"Graduate Institute of International Studies, University of Geneva; Wissenschaftszentrum Berlin (WZB) and Humboldt University; Deutsches Institut für Wirtschaftsforschung (DIW Berlin)",2006/09/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",54.0,3,10.1111/j.1467-6451.2006.00292.x,http://dx.doi.org/10.1111/j.1467-6451.2006.00292.x
21,Yusuke Zennyo,Platform Encroachment and Own‐Content Bias*,"Graduate School of Business Administration Kobe University  2‐1 Rokkodai, Nada Kobe Hyogo Japan",2022-9-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",70.0,3,10.1111/joie.12301,http://dx.doi.org/10.1111/joie.12301
22,YONGMIN CHEN; DAVID E. M. SAPPINGTON,INNOVATION IN VERTICALLY RELATED MARKETS*,"Department of Economics, University of Colorado, Boulder, Colorado 80309, U.S.A.</br>e-mail: Yongmin.Chen@colorado.edu; Department of Economics, University of Florida, Gainesville, Florida 32611, U.S.A.</br>e-mail: sapping@ufl.edu",2010/06/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",58.0,2,10.1111/j.1467-6451.2010.00414.x,http://dx.doi.org/10.1111/j.1467-6451.2010.00414.x
23,Alberto A. Gaggero; Claudio A. Piga,Airline Market Power and Intertemporal Price Dispersion,Hogeschool‐Universiteit Brussel Center for Economics and Management  Warmoesberg 26 B‐1000 Brussels Belgium; School of Business and Economics Loughborough University  Loughborough Leicestershire 11 3TU United Kingdom,2011-12-19,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",59.0,4,10.1111/j.1467-6451.2011.00467.x,http://dx.doi.org/10.1111/j.1467-6451.2011.00467.x
24,ROMAN INDERST; TOMMASO M. VALLETTI,BUYER POWER AND THE ‘WATERBED EFFECT’*,"University of Frankfurt, Imperial College London and CEPR. e-mail: Roman.Inderst@hof.uni-frankfurt.de; Imperial College London, University of Rome II and CEPR. e-mail: t.valletti@imperial.ac.uk",2011/03/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",59.0,1,10.1111/j.1467-6451.2011.00443.x,http://dx.doi.org/10.1111/j.1467-6451.2011.00443.x
25,Scott J. Wallsten,"An Econometric Analysis of Telecom Competition, Privatization, and Regulation in Africa and Latin America","The World Bank and Stanford Institute for Economic Policy Research, Stanford, CA 94305, USA",2001/03/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",49.0,1,10.1111/1467-6451.00135,http://dx.doi.org/10.1111/1467-6451.00135
26,Danial Asmat,Collusion Along the Learning Curve: Theory and Evidence From the Semiconductor Industry*,U.S. Department of Justice Antitrust Division 450 5<sup>th</sup> Street NW Washington D.C. U.S.A.,2020-8-18,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,1,10.1111/joie.12235,http://dx.doi.org/10.1111/joie.12235
27,Elisabetta Iossa,Informative Externalities and Pricing in Regulated Multiproduct Industries,"ECARE (Université Libre de Bruxelles), Bruxelles, Belgium",1999/06/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",47.0,2,10.1111/1467-6451.00097,http://dx.doi.org/10.1111/1467-6451.00097
28,DONGHUN KIM; RONALD W. COTTERILL,COST PASS-THROUGH IN DIFFERENTIATED PRODUCT MARKETS: THE CASE OF U.S. PROCESSED CHEESE*,"International University of Japan, Niigata 949-7277, Japan.</br>e-mail:dhkim@iuj.ac.jp; Department of Agricultural and Resource Economics, University of Connecticut, Connecticut 06269-4021, U.S.A.</br>e-mail:Ronald.cotterill@uconn.edu",2008/03/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",56.0,1,10.1111/j.1467-6451.2008.00331.x,http://dx.doi.org/10.1111/j.1467-6451.2008.00331.x
29,OFER H. AZAR,THE INFLUENCE OF ECONOMICS ARTICLES ON BUSINESS RESEARCH: ANALYSIS OF JOURNALS AND TIME TRENDS*,"Department of Business Administration, Guilford Glazer School of Business and Management, Ben-Gurion University of the Negev, P.O.B. 653, Beer-Sheva 84105, Israel.</br>e-mail:azar@som.bgu.ac.il",2009/12/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",57.0,4,10.1111/j.1467-6451.2009.00394.x,http://dx.doi.org/10.1111/j.1467-6451.2009.00394.x
30,DONGLING HUANG; CHRISTIAN ROJAS; FRANK BASS,WHAT HAPPENS WHEN DEMAND IS ESTIMATED WITH A MISSPECIFIED MODEL?*,"The Lally School of Management & Technology, Rensselaer Polytechnic Institute, Troy, New York, 12180-3590, U.S.A.</br>email:huangd3@rpi.edu; Department of Resource Economics, University of Massachusetts Amherst, 219A Stockbridge Hall, Amherst, Massachusetts 01003, U.S.A.</br>email:rojas@resecon.umass.edu; (Deceased). School of Management, University of Texas at Dallas, Texas, U.S.A.",2008/12/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",56.0,4,10.1111/j.1467-6451.2008.00361.x,http://dx.doi.org/10.1111/j.1467-6451.2008.00361.x
31,Lars Persson,THE FAILING FIRM DEFENSE*,"The Research Institute of Industrial Economics, Box 5501, 114 85 Stockholm, Sweden. larsp@iui.se",2005/06/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",53.0,2,10.1111/j.0022-1821.2005.00251.x,http://dx.doi.org/10.1111/j.0022-1821.2005.00251.x
32,Karl Aiginger; Michael Pfaffermayr,Looking at the Cost Side of “Monopoly”,"Austrian Institute of Economic Research, University of Linz, PO Box 91, A-1103 Vienna, AustriaE-mail: aig@wsr.ac.at; Austrian Institute of Economic Research, University of Linz, PO Box 91, A-1103 Vienna, AustriaE-mail: pfafferm@wsr.ac.at",1997/09/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",45.0,3,10.1111/1467-6451.00048,http://dx.doi.org/10.1111/1467-6451.00048
33,Alessandro Ispano; Peter Schwardmann,Cursed Consumers and the Effectiveness of Consumer Protection Policies*,"CY Cergy Paris Université, CNRS, THEMA, 33 boulevard du Port  Cergy‐Pontoise 95011 France; Social and Decision Sciences Carnegie Mellon University, 5000 Forbes Avenue  Pittsburgh Pennsylvania 15213 U.S.A",2023-7-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",71.0,2,10.1111/joie.12332,http://dx.doi.org/10.1111/joie.12332
34,RICK HARBAUGH; RAHUL KHEMKA,DOES COPYRIGHT ENFORCEMENT ENCOURAGE PIRACY?*,"Kelley School of Business, Indiana University, Bloomington, Indiana, U.S.A.</br>e-mail: riharbau@indiana.edu; Georgetown University, Washington D.C., U.S.A.</br>e-mail: rk24@georgetown.edu",2010/06/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",58.0,2,10.1111/j.1467-6451.2010.00419.x,http://dx.doi.org/10.1111/j.1467-6451.2010.00419.x
35,Janice A. Hauge; Mark A. Jamison; James E. Prieger,Oust the Louse: Does Political Pressure Discipline Regulators?,Department of Economics; University of North Texas; Denton; Texas; U.S.A.; Public Utility Research Center; University of Florida; Gainsville; Florida; U.S.A.; Pepperdine University; School of Public Policy; Pacific Coast Highway; Malibu; California; U.S.A.,2012-6-18,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",60.0,2,10.1111/j.1467-6451.2012.00481.x,http://dx.doi.org/10.1111/j.1467-6451.2012.00481.x
36,Joseph Farrell; Michael L. Katz,"COMPETITION OR PREDATION? CONSUMER COORDINATION, STRATEGIC PRICING AND PRICE FLOORS IN NETWORK MARKETS*","Department of Economics, University of California, Berkeley, CA 94720-3880, U.S.A. farrell@econ.berkeley.edu; Haas School of Business, University of California, Berkeley, CA 94720-1900, U.S.A. katz@haas.berkeley.edu",2005/06/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",53.0,2,10.1111/j.0022-1821.2005.00252.x,http://dx.doi.org/10.1111/j.0022-1821.2005.00252.x
37,Jae Nahm,OPEN ARCHITECTURE AND R&D INCENTIVES,"Department of Economics, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong",2004/12/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",52.0,4,10.1111/j.0022-1821.2004.00240.x,http://dx.doi.org/10.1111/j.0022-1821.2004.00240.x
38,Anette Boom,On the Desirability of Compatibility with Product Selection,"Freie Universität Berlin, Institut für Wirtschaftstheorie, D-14195 Berlin, Germany",2001/03/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",49.0,1,10.1111/1467-6451.00139,http://dx.doi.org/10.1111/1467-6451.00139
39,Ralph B. Siebert,What Determines Heterogeneous Merger Effects on Competitive Outcomes?*,"Department of Economics Krannert School of Management, Purdue University and CESifo  West Lafayette Indiana U.S.A",2022-3-26,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",70.0,1,10.1111/joie.12283,http://dx.doi.org/10.1111/joie.12283
40,EIICHIRO KAZUMORI; JOHN MCMILLAN,SELLING ONLINE VERSUS LIVE*,"Control & Dynamic Systems, California Institute of Technology, Pasadena, California 91125, U.S.A. kazumori@cds.caltech.edu; Graduate School of Business, Stanford University, Stanford, California 94305, U.S.A. mcmillan_john@gsb.stanford.edu",2005/12/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",53.0,4,10.1111/j.1467-6427.2005.00269.x,http://dx.doi.org/10.1111/j.1467-6427.2005.00269.x
41,Anthony Creane; Thomas D. Jeitschko,Endogenous Entry in Markets with Unobserved Quality,Department of Economics University of Kentucky Lexington Kentucky U.S.A.; Department of Economics Michigan State University East Lansing Michigan U.S.A.,2016-9-22,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",64.0,3,10.1111/joie.12113,http://dx.doi.org/10.1111/joie.12113
42,PATRICK LEGROS,INTRODUCTION TO THE SYMPOSIUM,,2009/03/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",57.0,1,10.1111/j.1467-6451.2009.00374.x,http://dx.doi.org/10.1111/j.1467-6451.2009.00374.x
43,Jens Prüfer; Christoph Schottmüller,Competing with Big Data*,"CentER, TILEC Tilburg University  Tilburg The Netherlands; University of Cologne  Albertus Magnus Platz Köln Germany",2022-2-2,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",69.0,4,10.1111/joie.12259,http://dx.doi.org/10.1111/joie.12259
44,PETER DAVIS,"MEASURING THE BUSINESS STEALING, CANNIBALIZATION AND MARKET EXPANSION EFFECTS OF ENTRY IN THE U.S. MOTION PICTURE EXHIBITION MARKET*","London School of Economics, STICERD Applied Economics, Ltd. and CEPR. Address: R518 STICERD LSE, Houghton Street, London WC2A 2AE, UK. P.J.Davis@lse.ac.uk",2006/09/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",54.0,3,10.1111/j.1467-6451.2006.00290.x,http://dx.doi.org/10.1111/j.1467-6451.2006.00290.x
45,Haizhen Lin; Ian M. McCarthy,Multimarket Contact in Health Insurance: Evidence from Medicare Advantage*,"Indiana University &amp; NBER, Business Economics and Public Policy Kelley School of Business  1309 E. Tenth St. Bloomington Indiana 47405 U.S.A; Department of Economics Emory University &amp; NBER  1602 Fishburne Dr. Atlanta Georgia 30322 U.S.A",2023-4-5,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",71.0,1,10.1111/joie.12318,http://dx.doi.org/10.1111/joie.12318
46,Samir Mamadehussene; Francisco Silva,Modeling Competition over Multiple Variables under Limited Consumer Awareness*,"Naveen Jindal School of Management University of Texas at Dallas  800 West Campbell Road Richardson Texas 75080 U.S.A; Deakin Business School, Department of Economics Deakin University  Geelong Australia",2023-3-29,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",71.0,1,10.1111/joie.12317,http://dx.doi.org/10.1111/joie.12317
47,Stefano Colombo; Paolo G. Garella,Customer‐Based Customization and Price Competition*,"Largo A. Gemelli 1, Università Cattolica del Sacro Cuore  Milano Italy; Via del Conservatorio 7, Università degli Studi di Milano  Milano Italy",2022-12-5,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",70.0,4,10.1111/joie.12305,http://dx.doi.org/10.1111/joie.12305
48,Robert Clark; Mario Samano,Incentivized Mergers and Cost Efficiency: Evidence from the Electricity Distribution Industry*,Queen's University  94 University Avenue Kingston Ontario Canada; HEC Montreal  3000 chemin de la Cote Sainte Catherine Montreal Quebec Canada,2022-12-27,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",70.0,4,10.1111/joie.12310,http://dx.doi.org/10.1111/joie.12310
49,Jeff Thurk,Sincerest Form of Flattery? Product Innovation and Imitation in the European Automobile Industry,"Department of Economics University of Notre Dame 3047 Nanovic Hall, Notre Dame, Indiana, U.S.A.",2019-6-2,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",66.0,4,10.1111/joie.12187,http://dx.doi.org/10.1111/joie.12187
50,CHUN-HUI MIAO,"TYING, COMPATIBILITY AND PLANNED OBSOLESCENCE*","Department of Economics, University of South Carolina, 1705 College St., Columbia, South Carolina 29208, U.S.A.</br>email: miao@moore.sc.edu",2010/09/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",58.0,3,10.1111/j.1467-6451.2010.00425.x,http://dx.doi.org/10.1111/j.1467-6451.2010.00425.x
51,Philip G. Gayle; Zijun Luo,Choosing between Order‐of‐Entry Assumptions in Empirical Entry Models: Evidence from Competition between <scp>B</scp>urger <scp>K</scp>ing and <scp>M</scp>c<scp>D</scp>onald's Restaurant Outlets,Department of Economics Kansas State University  Manhattan Kansas U.S.A.; Department of Economics Colgate University  Hamilton New York U.S.A.,2015-3-30,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",63.0,1,10.1111/joie.12066,http://dx.doi.org/10.1111/joie.12066
52,Toshiaki Iizuka,What Explains the Use of Direct-to-Consumer Advertising of Prescription Drugs?,"Owen Graduate School of Management, Vanderbilt University, Nashville, USA",2004/09/01,Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",52.0,3,10.1111/j.0022-1821.2004.00230.x,http://dx.doi.org/10.1111/j.0022-1821.2004.00230.x
53,Kai-Uwe Kühn,Intertemporal Price Discrimination in Frictionless Durable Goods Monopolies,"CEMFI, Casado del Alisal 5, 28014 Madrid, Spain and Institut d’Anàlisi Econòmica (CSIC), Barcelona, Spain.kuhn@cemfi.es",1998/03/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",46.0,1,10.1111/1467-6451.00063,http://dx.doi.org/10.1111/1467-6451.00063
54,FRANK VERBOVEN; THEON van DIJK,CARTEL DAMAGES CLAIMS AND THE PASSING-ON DEFENSE*,"Catholic University of Leuven and Grensstraat 81, 1970 Brussels, Belgium and C.E.P.R. Naamsestraat 69, 3000 Leuven, Belgium</br>e-mail: Frank.Verboven@econ.kuleuven.be; Lexonomics, Grensstraat 81, 1970 Brussels, Belgium.</br>e-mail: t.vandijk@lexonomics.com",2009/09/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",57.0,3,10.1111/j.1467-6451.2009.00390.x,http://dx.doi.org/10.1111/j.1467-6451.2009.00390.x
55,FRANZ HUBERT; SVETLANA IKONNIKOVA,INVESTMENT OPTIONS AND BARGAINING POWER: THE EURASIAN SUPPLY CHAIN FOR NATURAL GAS*,"Humboldt–Universität zu Berlin, Spandauer Str. 1, 10178 Berlin, Germany</br>email:hubert@wiwi.hu-berlin.de; Center for Energy Economics, Bureau of Economic Geology, University of Texas at Austin, University Station, Box X, Austin, Texas, U.S.A.</br>e-mail:svetlana.ikonnikova@beg.utexas.edu",2011/03/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",59.0,1,10.1111/j.1467-6451.2011.00447.x,http://dx.doi.org/10.1111/j.1467-6451.2011.00447.x
56,Ben Shiller; Joel Waldfogel,Music for a Song: An Empirical Look at Uniform Pricing and Its Alternatives,Brandeis University  415 South Street Walthum Massachusetts 02453 U.S.A.; NBER Post‐Doctoral Fellow  1050 Massachusetts Avenus Cambridge Massachusetts 02138 U.S.A.; University of Minnesota 3‐177 Carlson School of Management  321‐19<sup>th</sup> Avenue South Minneapolis Minnesota 55455 U.S.A.; NBER  1050 Massachusetts Avenue Cambridge Massachusetts 02138 U.S.A.,2011-12-19,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",59.0,4,10.1111/j.1467-6451.2011.00470.x,http://dx.doi.org/10.1111/j.1467-6451.2011.00470.x
57,Youping Li; Jie Shuai,Licensing Essential Patents: The Non‐Discriminatory Commitment and Hold‐Up,"School of Business East China University of Science and Technology 130 Meilong Road Shanghai PR China; Wenlan School of Business Zhongnan University of Economics and Law 182 Nanhu Avenue, East Lake High‐Tech Development Zone Wuhan PR China",2019-7-19,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",67.0,1,10.1111/joie.12177,http://dx.doi.org/10.1111/joie.12177
58,MATTHEW LEWIS,PRICE DISPERSION AND COMPETITION WITH DIFFERENTIATED SELLERS*,"Department of Economics, The Ohio State University, Columbus, Ohio 43210, U.S.A.</br>email:mlewis@econ.ohio-state.edu",2008/09/01,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",56.0,3,10.1111/j.1467-6451.2008.00348.x,http://dx.doi.org/10.1111/j.1467-6451.2008.00348.x
59,Mercedes Delgado; Margaret Kyle; Anita M. McGahan,Intellectual Property Protection and the Geography of Trade,Fox School of Business Temple University  Philadelphia Pennsylvania U.S.A.; Toulouse School of Economics  Toulouse France; IDEI; CEPR; Rotman School of Management University of Toronto  Toronto Canada,2013-10-21,The Journal of Industrial Economics,"Economics and Econometrics; General Business, Management and Accounting; Accounting",61.0,3,10.1111/joie.12027,http://dx.doi.org/10.1111/joie.12027
